Vg	absId	absIg	absIs	Vd	Id	Ig
-30	2.26922E-10	7.3225E-10	9.0808E-11	5	2.26922E-10	-7.3225E-10
-29.25	9.6062E-11	1.93842E-10	5.3595E-11	5	9.6062E-11	-1.93842E-10
-28.5	5.436E-11	1.20633E-10	3.1133E-11	5	5.436E-11	-1.20633E-10
-27.75	3.4305E-11	7.9734E-11	2.1644E-11	5	3.4305E-11	-7.9734E-11
-27	2.3664E-11	5.8893E-11	1.6414E-11	5	2.3664E-11	-5.8893E-11
-26.25	1.7368E-11	4.6392E-11	1.3055E-11	5	1.7368E-11	-4.6392E-11
-25.5	1.3237E-11	3.7411E-11	1.082E-11	5	1.3237E-11	-3.7411E-11
-24.75	1.0452E-11	3.0856E-11	9.214E-12	5	1.0452E-11	-3.0856E-11
-24	8.138E-12	2.6681E-11	8.008E-12	5	8.138E-12	-2.6681E-11
-23.25	6.587E-12	2.3117E-11	6.964E-12	5	6.587E-12	-2.3117E-11
-22.5	5.37E-12	1.9875E-11	6.178E-12	5	5.37E-12	-1.9875E-11
-21.75	4.317E-12	1.7603E-11	5.477E-12	5	4.317E-12	-1.7603E-11
-21	3.383E-12	1.589E-11	4.898E-12	5	3.383E-12	-1.589E-11
-20.25	2.736E-12	1.3859E-11	4.551E-12	5	2.736E-12	-1.3859E-11
-19.5	2.267E-12	1.1974E-11	4.098E-12	5	2.267E-12	-1.1974E-11
-18.75	1.579E-12	1.0875E-11	3.728E-12	5	1.579E-12	-1.0875E-11
-18	1.178E-12	8.957E-12	3.425E-12	5	1.178E-12	-8.957E-12
-17.25	8.85E-13	8.8E-12	3.12E-12	5	8.85E-13	-8.8E-12
-16.5	3.75E-13	7.345E-12	2.851E-12	5	3.75E-13	-7.345E-12
-15.75	3E-14	6.192E-12	2.598E-12	5	3E-14	-6.192E-12
-15	2.42E-13	5.244E-12	2.334E-12	5	-2.42E-13	-5.244E-12
-14.25	6.92E-13	4.653E-12	2.082E-12	5	-6.92E-13	-4.653E-12
-13.5	1.156E-12	3.332E-12	1.894E-12	5	-1.156E-12	-3.332E-12
-12.75	1.34E-12	2.653E-12	1.542E-12	5	-1.34E-12	-2.653E-12
-12	1.978E-12	1.18E-12	1.066E-12	5	-1.978E-12	-1.18E-12
-11.25	2.404E-12	5.61E-13	2.27E-13	5	-2.404E-12	5.61E-13
-10.5	3.086E-12	3.723E-12	1.302E-12	5	-3.086E-12	3.723E-12
-9.75	3.547E-12	8.162E-12	3.514E-12	5	-3.547E-12	8.162E-12
-9	2.512E-12	1.3594E-11	8.587E-12	5	-2.512E-12	1.3594E-11
-8.25	3.707E-12	2.0885E-11	1.9035E-11	5	3.707E-12	2.0885E-11
-7.5	2.7513E-11	2.3234E-11	4.3878E-11	5	2.7513E-11	2.3234E-11
-6.75	9.8687E-11	2.8894E-11	1.19105E-10	5	9.8687E-11	2.8894E-11
-6	3.46116E-10	4.1067E-11	3.7464E-10	5	3.46116E-10	4.1067E-11
-5.25	1.09505E-09	5.8453E-11	1.13636E-09	5	1.09505E-09	5.8453E-11
-4.5	2.85178E-09	8.7795E-11	2.92376E-09	5	2.85178E-09	8.7795E-11
-3.75	6.17157E-09	1.21378E-10	6.27357E-09	5	6.17157E-09	1.21378E-10
-3	1.15893E-08	1.35074E-10	1.17222E-08	5	1.15893E-08	1.35074E-10
-2.25	1.96E-08	1.68878E-10	1.97773E-08	5	1.96E-08	1.68878E-10
-1.5	3.0761E-08	1.69692E-10	3.09441E-08	5	3.0761E-08	1.69692E-10
-0.75	4.54785E-08	1.76943E-10	4.57008E-08	5	4.54785E-08	1.76943E-10
0	6.41912E-08	1.92034E-10	6.44779E-08	5	6.41912E-08	1.92034E-10
0.75	8.71422E-08	1.94457E-10	8.73984E-08	5	8.71422E-08	1.94457E-10
1.5	1.14195E-07	1.60723E-10	1.145103E-07	5	1.14195E-07	1.60723E-10
2.25	1.45527E-07	1.16517E-10	1.45798E-07	5	1.45527E-07	1.16517E-10
3	1.80089E-07	1.17844E-10	1.80545E-07	5	1.80089E-07	1.17844E-10
3.75	2.17816E-07	1.14521E-10	2.18037E-07	5	2.17816E-07	1.14521E-10
4.5	2.5693E-07	1.23744E-10	2.57242E-07	5	2.5693E-07	1.23744E-10
5.25	2.96944E-07	1.38256E-10	2.97644E-07	5	2.96944E-07	1.38256E-10
6	3.38032E-07	1.57918E-10	3.38554E-07	5	3.38032E-07	1.57918E-10
6.75	3.79796E-07	1.93509E-10	3.8012E-07	5	3.79796E-07	1.93509E-10
7.5	4.2131E-07	2.51099E-10	4.21978E-07	5	4.2131E-07	2.51099E-10
8.25	4.63325E-07	3.19041E-10	4.63785E-07	5	4.63325E-07	3.19041E-10
9	5.0487E-07	4.09327E-10	5.05775E-07	5	5.0487E-07	4.09327E-10
9.75	5.46545E-07	5.90623E-10	5.47328E-07	5	5.46545E-07	5.90623E-10
10.5	5.87926E-07	7.4381E-10	5.88712E-07	5	5.87926E-07	7.4381E-10
11.25	6.2945E-07	9.4226E-10	6.30289E-07	5	6.2945E-07	9.4226E-10
12	6.70659E-07	1.19263E-09	6.72479E-07	5	6.70659E-07	1.19263E-09
12.75	7.12906E-07	1.47957E-09	7.13799E-07	5	7.12906E-07	1.47957E-09
13.5	7.53577E-07	1.93886E-09	7.56071E-07	5	7.53577E-07	1.93886E-09
14.25	7.95047E-07	2.33279E-09	7.97019E-07	5	7.95047E-07	2.33279E-09
15	8.3639E-07	2.71117E-09	8.3967E-07	5	8.3639E-07	2.71117E-09
15.75	8.76883E-07	3.13247E-09	8.80282E-07	5	8.76883E-07	3.13247E-09
16.5	9.16937E-07	3.58891E-09	9.21295E-07	5	9.16937E-07	3.58891E-09
17.25	9.59407E-07	4.16168E-09	9.63401E-07	5	9.59407E-07	4.16168E-09
18	9.98955E-07	4.83176E-09	1.00398E-06	5	9.98955E-07	4.83176E-09
18.75	1.039538E-06	5.34734E-09	1.044423E-06	5	1.039538E-06	5.34734E-09
19.5	1.07868E-06	5.93533E-09	1.085339E-06	5	1.07868E-06	5.93533E-09
20.25	1.120246E-06	6.67895E-09	1.127184E-06	5	1.120246E-06	6.67895E-09
21	1.16036E-06	7.29428E-09	1.168372E-06	5	1.16036E-06	7.29428E-09
21.75	1.20094E-06	7.99758E-09	1.20876E-06	5	1.20094E-06	7.99758E-09
22.5	1.24197E-06	8.73965E-09	1.24997E-06	5	1.24197E-06	8.73965E-09
23.25	1.28246E-06	9.6169E-09	1.29262E-06	5	1.28246E-06	9.6169E-09
24	1.32254E-06	1.04046E-08	1.33195E-06	5	1.32254E-06	1.04046E-08
24.75	1.36091E-06	1.12653E-08	1.3731E-06	5	1.36091E-06	1.12653E-08
25.5	1.40338E-06	1.21698E-08	1.41534E-06	5	1.40338E-06	1.21698E-08
26.25	1.44225E-06	1.31621E-08	1.45411E-06	5	1.44225E-06	1.31621E-08
27	1.48019E-06	1.40051E-08	1.4944E-06	5	1.48019E-06	1.40051E-08
27.75	1.52086E-06	1.50091E-08	1.5353E-06	5	1.52086E-06	1.50091E-08
28.5	1.56081E-06	1.59037E-08	1.57756E-06	5	1.56081E-06	1.59037E-08
29.25	1.6E-06	1.70294E-08	1.61805E-06	5	1.6E-06	1.70294E-08
30	1.63919E-06	1.80707E-08	1.65804E-06	5	1.63919E-06	1.80707E-08
30.75	1.67864E-06	1.92446E-08	1.69903E-06	5	1.67864E-06	1.92446E-08
31.5	1.71874E-06	2.03923E-08	1.74046E-06	5	1.71874E-06	2.03923E-08
32.25	1.76074E-06	2.1617E-08	1.7822E-06	5	1.76074E-06	2.1617E-08
33	1.80096E-06	2.29289E-08	1.82258E-06	5	1.80096E-06	2.29289E-08
33.75	1.83899E-06	2.42272E-08	1.86139E-06	5	1.83899E-06	2.42272E-08
34.5	1.8767E-06	2.54107E-08	1.90243E-06	5	1.8767E-06	2.54107E-08
35.25	1.91559E-06	2.67644E-08	1.94228E-06	5	1.91559E-06	2.67644E-08
36	1.95463E-06	2.81678E-08	1.98482E-06	5	1.95463E-06	2.81678E-08
36.75	1.99456E-06	2.95072E-08	2.02455E-06	5	1.99456E-06	2.95072E-08
37.5	2.03231E-06	3.10468E-08	2.06248E-06	5	2.03231E-06	3.10468E-08
38.25	2.06977E-06	3.25146E-08	2.10191E-06	5	2.06977E-06	3.25146E-08
39	2.10844E-06	3.40916E-08	2.1421E-06	5	2.10844E-06	3.40916E-08
39.75	2.14839E-06	3.55955E-08	2.1849E-06	5	2.14839E-06	3.55955E-08
40.5	2.18738E-06	3.71493E-08	2.224E-06	5	2.18738E-06	3.71493E-08
41.25	2.22497E-06	3.89047E-08	2.26243E-06	5	2.22497E-06	3.89047E-08
42	2.26177E-06	4.093E-08	2.30304E-06	5	2.26177E-06	4.093E-08
42.75	2.29898E-06	4.28267E-08	2.3427E-06	5	2.29898E-06	4.28267E-08
43.5	2.3378E-06	4.44399E-08	2.38464E-06	5	2.3378E-06	4.44399E-08
44.25	2.37464E-06	4.63523E-08	2.42221E-06	5	2.37464E-06	4.63523E-08
45	2.41149E-06	4.85416E-08	2.45941E-06	5	2.41149E-06	4.85416E-08
45.75	2.45055E-06	5.04697E-08	2.50086E-06	5	2.45055E-06	5.04697E-08
46.5	2.4871E-06	5.25596E-08	2.53863E-06	5	2.4871E-06	5.25596E-08
47.25	2.52389E-06	5.48128E-08	2.57996E-06	5	2.52389E-06	5.48128E-08
48	2.56094E-06	5.69986E-08	2.61741E-06	5	2.56094E-06	5.69986E-08
48.75	2.597E-06	5.94388E-08	2.65771E-06	5	2.597E-06	5.94388E-08
49.5	2.63277E-06	6.21118E-08	2.69544E-06	5	2.63277E-06	6.21118E-08
50.25	2.67139E-06	6.42769E-08	2.73403E-06	5	2.67139E-06	6.42769E-08
51	2.70615E-06	6.69003E-08	2.77294E-06	5	2.70615E-06	6.69003E-08
51.75	2.74236E-06	6.95627E-08	2.81152E-06	5	2.74236E-06	6.95627E-08
52.5	2.77401E-06	7.26912E-08	2.84831E-06	5	2.77401E-06	7.26912E-08
53.25	2.81115E-06	7.51663E-08	2.88577E-06	5	2.81115E-06	7.51663E-08
54	2.84705E-06	7.76226E-08	2.92719E-06	5	2.84705E-06	7.76226E-08
54.75	2.88001E-06	8.05104E-08	2.96102E-06	5	2.88001E-06	8.05104E-08
55.5	2.9102E-06	8.33212E-08	2.99379E-06	5	2.9102E-06	8.33212E-08
56.25	2.94649E-06	8.60823E-08	3.0344E-06	5	2.94649E-06	8.60823E-08
57	2.98256E-06	8.92054E-08	3.0722E-06	5	2.98256E-06	8.92054E-08
57.75	3.01576E-06	9.18608E-08	3.10675E-06	5	3.01576E-06	9.18608E-08
