Vg	absId	absIg	absIs	Vd	Ig	Id
5	2.79042E-09	4.3063E-09	3.624E-11	-5	4.3063E-09	-2.79042E-09
4.5	2.28742E-09	1.33052E-09	3.6398E-10	-5	1.33052E-09	-2.28742E-09
4	2.25861E-09	1.44631E-09	6.9965E-10	-5	1.44631E-09	-2.25861E-09
3.5	2.35136E-09	1.19006E-09	1.08738E-09	-5	1.19006E-09	-2.35136E-09
3	2.56483E-09	9.303E-10	1.54099E-09	-5	9.303E-10	-2.56483E-09
2.5	2.89419E-09	5.75E-10	2.09341E-09	-5	5.75E-10	-2.89419E-09
2	3.39097E-09	4.9145E-10	2.75291E-09	-5	4.9145E-10	-3.39097E-09
1.5	4.04337E-09	3.864E-10	3.57044E-09	-5	3.864E-10	-4.04337E-09
1	4.86799E-09	1.234E-10	4.57862E-09	-5	1.234E-10	-4.86799E-09
0.5	5.96514E-09	4.257E-11	5.81281E-09	-5	4.257E-11	-5.96514E-09
0	7.39564E-09	2.651E-11	7.3472E-09	-5	-2.651E-11	-7.39564E-09
-0.5	9.17363E-09	1.4661E-10	9.2481E-09	-5	-1.4661E-10	-9.17363E-09
-1	1.14539E-08	2.4634E-10	1.16384E-08	-5	-2.4634E-10	-1.14539E-08
-1.5	1.42376E-08	4.944E-10	1.46269E-08	-5	-4.944E-10	-1.42376E-08
-2	1.78574E-08	6.4917E-10	1.84058E-08	-5	-6.4917E-10	-1.78574E-08
-2.5	2.26215E-08	7.1965E-10	2.32913E-08	-5	-7.1965E-10	-2.26215E-08
-3	2.88028E-08	8.855E-10	2.96485E-08	-5	-8.855E-10	-2.88028E-08
-3.5	3.7108E-08	1.09145E-09	3.81627E-08	-5	-1.09145E-09	-3.7108E-08
-4	4.86581E-08	1.17273E-09	4.9862E-08	-5	-1.17273E-09	-4.86581E-08
-4.5	6.44909E-08	1.457E-09	6.60366E-08	-5	-1.457E-09	-6.44909E-08
-5	8.67829E-08	1.63385E-09	8.86255E-08	-5	-1.63385E-09	-8.67829E-08
-5.5	1.18489E-07	1.6768E-09	1.20575E-07	-5	-1.6768E-09	-1.18489E-07
-6	1.61074E-07	2.0124E-09	1.63723E-07	-5	-2.0124E-09	-1.61074E-07
-6.5	2.19519E-07	2.13649E-09	2.22557E-07	-5	-2.13649E-09	-2.19519E-07
-7	2.94759E-07	2.5268E-09	2.98593E-07	-5	-2.5268E-09	-2.94759E-07
-7.5	3.90021E-07	3.0262E-09	3.94806E-07	-5	-3.0262E-09	-3.90021E-07
